observation_date,UMCSENT
1991-04-01,80.7
1991-07-01,82.6
1991-10-01,71.9
1992-01-01,70.8
1992-04-01,78.9
1992-07-01,76.1
1992-10-01,83.2
1993-01-01,87.3
1993-04-01,82.5
1993-07-01,77.4
1993-10-01,84.0
1994-01-01,93.0
1994-04-01,92.2
1994-07-01,90.7
1994-10-01,93.1
1995-01-01,94.3
1995-04-01,91.7
1995-07-01,93.2
1995-10-01,89.8
1996-01-01,90.5
1996-04-01,91.5
1996-07-01,94.9
1996-10-01,97.5
1997-01-01,99.0
1997-04-01,103.0
1997-07-01,105.8
1997-10-01,105.0
1998-01-01,107.8
1998-04-01,106.9
1998-07-01,103.5
1998-10-01,100.2
1999-01-01,105.9
1999-04-01,106.2
1999-07-01,105.9
1999-10-01,105.3
2000-01-01,110.1
2000-04-01,108.8
2000-07-01,107.5
2000-10-01,103.9
2001-01-01,92.3
2001-04-01,91.0
2001-07-01,88.6
2001-10-01,85.1
2002-01-01,93.1
2002-04-01,94.1
2002-07-01,87.3
2002-10-01,83.8
2003-01-01,80.0
2003-04-01,89.3
2003-07-01,89.3
2003-10-01,92.0
2004-01-01,98.0
2004-04-01,93.3
2004-07-01,95.6
2004-10-01,93.9
2005-01-01,94.1
2005-04-01,90.2
2005-07-01,87.5
2005-10-01,82.4
2006-01-01,88.9
2006-04-01,83.8
2006-07-01,84.0
2006-10-01,92.5
2007-01-01,92.2
2007-04-01,86.9
2007-07-01,85.7
2007-10-01,77.5
2008-01-01,72.9
2008-04-01,59.6
2008-07-01,64.8
2008-10-01,57.7
2009-01-01,58.3
2009-04-01,68.2
2009-07-01,68.4
2009-10-01,70.2
2010-01-01,73.9
2010-04-01,73.9
2010-07-01,68.3
2010-10-01,71.3
2011-01-01,73.1
2011-04-01,71.9
2011-07-01,59.7
2011-10-01,64.8
2012-01-01,75.5
2012-04-01,76.3
2012-07-01,75.0
2012-10-01,79.4
2013-01-01,76.7
2013-04-01,81.7
2013-07-01,81.6
2013-10-01,76.9
2014-01-01,80.9
2014-04-01,82.8
2014-07-01,83.0
2014-10-01,89.8
2015-01-01,95.5
2015-04-01,94.2
2015-07-01,90.7
2015-10-01,91.3
2016-01-01,91.6
2016-04-01,92.4
2016-07-01,90.3
2016-10-01,93.1
2017-01-01,97.2
2017-04-01,96.4
2017-07-01,95.1
2017-10-01,98.4
2018-01-01,98.9
2018-04-01,98.3
2018-07-01,98.1
2018-10-01,98.1
2019-01-01,94.5
2019-04-01,98.5
2019-07-01,93.8
2019-10-01,97.2
2020-01-01,96.6
2020-04-01,74.1
2020-07-01,75.7
2020-10-01,79.8
2021-01-01,80.2
2021-04-01,85.6
2021-07-01,74.8
2021-10-01,69.9
2022-01-01,63.1
2022-04-01,57.9
2022-07-01,56.1
2022-10-01,58.8
2023-01-01,64.6
2023-04-01,62.3
2023-07-01,69.6
2023-10-01,64.9
2024-01-01,78.4
2024-04-01,71.5
2024-07-01,68.1
2024-10-01,72.1
