Year,Month,Return (%),Amount ($),CPI
1964,12,2.82%,967.65,31.20
1965,1,0.98%,977.09,31.20
1965,2,0.34%,980.37,31.20
1965,3,1.56%,995.64,31.30
1965,4,1.73%,"1,012.89",31.40
1965,5,-4.51%,967.23,31.40
1965,6,0.10%,968.23,31.60
1965,7,2.12%,988.74,31.60
1965,8,3.60%,"1,024.30",31.60
1965,9,2.50%,"1,049.87",31.60
1965,10,1.08%,"1,061.17",31.70
1965,11,-0.21%,"1,058.92",31.70
1965,12,1.98%,"1,079.90",31.80
1966,1,-0.43%,"1,075.25",31.80
1966,2,-3.86%,"1,033.72",32.00
1966,3,3.32%,"1,068.05",32.10
1966,4,-5.01%,"1,014.56",32.30
1966,5,-0.56%,"1,008.89",32.30
1966,6,0.02%,"1,009.07",32.40
1966,7,-5.77%,950.85,32.50
1966,8,-3.22%,920.19,32.70
1966,9,-0.56%,915.00,32.70
1966,10,5.32%,963.64,32.90
1966,11,0.72%,970.54,32.90
1966,12,4.13%,"1,010.62",32.90
1967,1,3.73%,"1,048.32",32.90
1967,2,2.63%,"1,075.93",32.90
1967,3,1.99%,"1,097.37",33.00
1967,4,2.06%,"1,119.95",33.10
1967,5,-0.99%,"1,108.84",33.20
1967,6,1.99%,"1,130.93",33.30
1967,7,1.85%,"1,151.87",33.40
1967,8,1.65%,"1,170.92",33.50
1967,9,0.10%,"1,172.06",33.60
1967,10,-2.88%,"1,138.29",33.70
1967,11,3.11%,"1,173.71",33.80
1967,12,-0.02%,"1,173.50",33.90
1968,1,-4.26%,"1,123.55",34.10
1968,2,-1.56%,"1,106.03",34.20
1968,3,7.66%,"1,190.77",34.30
1968,4,2.56%,"1,221.23",34.40
1968,5,2.94%,"1,257.14",34.50
1968,6,0.05%,"1,257.75",34.70
1968,7,-1.93%,"1,233.43",34.90
1968,8,3.51%,"1,276.69",35.00
1968,9,2.72%,"1,311.39",35.10
1968,10,1.79%,"1,334.80",35.30
1968,11,1.29%,"1,351.96",35.40
1968,12,-3.99%,"1,298.08",35.50
1969,1,-0.24%,"1,294.99",35.60
1969,2,-1.91%,"1,270.20",35.80
1969,3,2.27%,"1,299.09",36.10
1969,4,3.51%,"1,344.73",36.30
1969,5,-4.97%,"1,277.88",36.40
1969,6,-4.21%,"1,224.14",36.60
1969,7,-0.28%,"1,220.67",36.80
1969,8,0.63%,"1,228.34",37.00
1969,9,1.35%,"1,244.88",37.10
1969,10,1.00%,"1,257.30",37.30
1969,11,-5.03%,"1,194.09",37.50
1969,12,-0.59%,"1,187.06",37.70
1970,1,-3.20%,"1,149.12",37.80
1970,2,2.01%,"1,172.24",38.00
1970,3,-2.75%,"1,140.03",38.20
1970,4,-11.20%,"1,012.36",38.50
1970,5,-0.27%,"1,009.63",38.60
1970,6,0.52%,"1,014.90",38.80
1970,7,3.26%,"1,047.94",39.00
1970,8,6.32%,"1,114.19",39.00
1970,9,2.49%,"1,141.93",39.20
1970,10,0.21%,"1,144.29",39.40
1970,11,7.16%,"1,226.20",39.60
1970,12,4.11%,"1,276.60",39.80
1971,1,4.15%,"1,329.60",39.80
1971,2,2.83%,"1,367.25",39.90
1971,3,3.67%,"1,417.48",40.00
1971,4,-1.11%,"1,401.78",40.10
1971,5,-1.60%,"1,379.40",40.30
1971,6,-0.46%,"1,373.02",40.60
1971,7,-1.52%,"1,352.19",40.70
1971,8,2.49%,"1,385.81",40.80
1971,9,-1.86%,"1,359.98",40.80
1971,10,-4.37%,"1,300.53",40.90
1971,11,7.16%,"1,393.69",40.90
1971,12,4.42%,"1,455.33",41.10
1972,1,2.09%,"1,485.70",41.10
1972,2,2.62%,"1,524.62",41.30
1972,3,1.26%,"1,543.82",41.40
1972,4,-0.78%,"1,531.84",41.50
1972,5,0.52%,"1,539.74",41.60
1972,6,-0.50%,"1,531.99",41.70
1972,7,3.78%,"1,589.95",41.90
1972,8,-1.21%,"1,570.71",42.00
1972,9,0.42%,"1,577.26",42.10
1972,10,5.25%,"1,660.14",42.30
1972,11,2.31%,"1,698.51",42.40
1972,12,0.99%,"1,715.31",42.50
1973,1,-3.33%,"1,658.28",42.60
1973,2,-1.35%,"1,635.97",42.90
1973,3,-1.63%,"1,609.25",43.30
1973,4,-2.57%,"1,567.89",43.60
1973,5,-1.99%,"1,536.70",43.90
1973,6,1.21%,"1,555.29",44.20
1973,7,-1.64%,"1,529.86",44.30
1973,8,2.00%,"1,560.38",45.10
1973,9,4.24%,"1,626.47",45.20
1973,10,-6.85%,"1,515.01",45.60
1973,11,-6.81%,"1,411.91",45.90
1973,12,1.70%,"1,435.92",46.20
1974,1,-2.47%,"1,400.41",46.60
1974,2,4.57%,"1,464.47",47.20
1974,3,-4.82%,"1,393.94",47.80
1974,4,-2.71%,"1,356.22",48.00
1974,5,0.46%,"1,362.42",48.60
1974,6,-11.35%,"1,207.83",49.00
1974,7,-3.76%,"1,162.36",49.40
1974,8,-10.01%,"1,045.96",50.00
1974,9,2.38%,"1,070.83",50.60
1974,10,3.74%,"1,110.91",51.10
1974,11,-6.09%,"1,043.24",51.50
1974,12,8.63%,"1,133.30",51.90
1975,1,10.81%,"1,255.78",52.10
1975,2,4.97%,"1,318.24",52.50
1975,3,1.49%,"1,337.84",52.70
1975,4,6.71%,"1,427.64",52.90
1975,5,2.89%,"1,468.97",53.20
1975,6,0.43%,"1,475.31",53.60
1975,7,-7.00%,"1,372.10",54.20
1975,8,-0.85%,"1,360.40",54.30
1975,9,4.97%,"1,428.03",54.60
1975,10,2.04%,"1,457.18",54.90
1975,11,-1.18%,"1,439.99",55.30
1975,12,9.55%,"1,577.44",55.50
1976,1,4.18%,"1,643.35",55.60
1976,2,0.80%,"1,656.54",55.80
1976,3,1.10%,"1,674.69",55.90
1976,4,-0.38%,"1,668.27",56.10
1976,5,0.90%,"1,683.29",56.50
1976,6,2.67%,"1,728.16",56.80
1976,7,-0.56%,"1,718.47",57.10
1976,8,2.44%,"1,760.36",57.40
1976,9,-3.11%,"1,705.65",57.60
1976,10,-0.37%,"1,699.39",57.90
1976,11,3.79%,"1,763.74",58.00
1976,12,-0.54%,"1,754.26",58.20
1977,1,-2.37%,"1,712.71",58.50
1977,2,-0.05%,"1,711.79",59.10
1977,3,-1.19%,"1,691.35",59.50
1977,4,0.06%,"1,692.44",60.00
1977,5,0.90%,"1,707.67",60.30
1977,6,1.28%,"1,729.57",60.70
1977,7,-2.08%,"1,693.62",61.00
1977,8,-1.18%,"1,673.71",61.20
1977,9,-2.20%,"1,636.93",61.40
1977,10,0.98%,"1,652.99",61.60
1977,11,-0.08%,"1,651.66",61.90
1977,12,-3.39%,"1,595.67",62.10
1978,1,-0.97%,"1,580.16",62.50
1978,2,0.27%,"1,584.35",62.90
1978,3,4.83%,"1,660.88",63.40
1978,4,5.50%,"1,752.30",63.90
1978,5,0.67%,"1,764.10",64.50
1978,6,-0.06%,"1,763.00",65.20
1978,7,7.33%,"1,892.20",65.70
1978,8,0.40%,"1,899.76",66.00
1978,9,-2.77%,"1,847.07",66.50
1978,10,-5.44%,"1,746.63",67.10
1978,11,1.92%,"1,780.22",67.40
1978,12,4.19%,"1,854.73",67.70
1979,1,-1.06%,"1,835.12",68.30
1979,2,2.34%,"1,878.09",69.10
1979,3,2.43%,"1,923.74",69.80
1979,4,-1.89%,"1,887.32",70.60
1979,5,2.42%,"1,932.95",71.50
1979,6,1.42%,"1,960.42",72.30
1979,7,5.01%,"2,058.72",73.10
1979,8,1.54%,"2,090.43",73.80
1979,9,-3.35%,"2,020.35",74.60
1979,10,-0.32%,"2,013.84",75.20
1979,11,4.40%,"2,102.52",75.90
1979,12,3.31%,"2,172.17",76.70
1980,1,4.40%,"2,267.66",77.80
1980,2,-8.78%,"2,068.60",78.90
1980,3,-1.16%,"2,044.57",80.10
1980,4,5.04%,"2,147.53",81.00
1980,5,6.86%,"2,294.91",81.80
1980,6,4.97%,"2,408.96",82.70
1980,7,3.50%,"2,493.38",82.70
1980,8,2.84%,"2,564.09",83.30
1980,9,3.32%,"2,649.34",84.00
1980,10,4.61%,"2,771.60",84.80
1980,11,-1.24%,"2,737.10",85.50
1980,12,0.01%,"2,737.37",86.30
1981,1,-3.07%,"2,653.33",87.00
1981,2,4.14%,"2,763.27",87.90
1981,3,1.29%,"2,799.02",88.50
1981,4,-1.62%,"2,753.75",89.10
1981,5,0.86%,"2,777.37",89.80
1981,6,-2.02%,"2,721.37",90.60
1981,7,0.80%,"2,743.21",91.60
1981,8,-8.30%,"2,515.45",92.30
1981,9,1.73%,"2,558.90",93.20
1981,10,3.04%,"2,636.78",93.40
1981,11,1.18%,"2,667.88",93.70
1981,12,-4.80%,"2,539.71",94.00
1982,1,-1.91%,"2,491.10",94.30
1982,2,-2.74%,"2,422.73",94.60
1982,3,5.47%,"2,555.24",94.50
1982,4,0.57%,"2,569.80",94.90
1982,5,-5.27%,"2,434.35",95.80
1982,6,0.24%,"2,440.29",97.00
1982,7,0.79%,"2,459.66",97.50
1982,8,12.10%,"2,757.19",97.70
1982,9,8.88%,"3,002.07",97.90
1982,10,4.50%,"3,137.16",98.20
1982,11,1.36%,"3,179.69",98.00
1982,12,3.93%,"3,304.51",97.60
1983,1,2.13%,"3,374.90",97.80
1983,2,3.87%,"3,505.36",97.90
1983,3,4.20%,"3,652.49",97.90
1983,4,4.42%,"3,814.08",98.60
1983,5,1.75%,"3,880.96",99.20
1983,6,0.71%,"3,908.44",99.50
1983,7,-2.41%,"3,814.36",99.90
1983,8,3.31%,"3,940.76",100.20
1983,9,0.65%,"3,966.29",100.70
1983,10,-1.14%,"3,921.02",101.00
1983,11,-0.13%,"3,916.00",101.20
1983,12,1.58%,"3,977.71",101.30
1984,1,-5.11%,"3,774.36",101.90
1984,2,0.44%,"3,791.06",102.40
1984,3,0.51%,"3,810.29",102.60
1984,4,-0.25%,"3,800.67",103.10
1984,5,-1.85%,"3,730.42",103.40
1984,6,-0.91%,"3,696.53",103.70
1984,7,9.21%,"4,036.85",104.10
1984,8,1.41%,"4,093.65",104.50
1984,9,-0.41%,"4,076.77",105.00
1984,10,1.29%,"4,129.19",105.30
1984,11,-0.71%,"4,099.97",105.30
1984,12,4.70%,"4,292.57",105.30
1985,1,5.79%,"4,541.00",105.50
1985,2,-0.48%,"4,519.28",106.00
1985,3,1.02%,"4,565.59",106.40
1985,4,2.74%,"4,690.49",106.90
1985,5,2.51%,"4,808.26",107.30
1985,6,2.25%,"4,916.31",107.60
1985,7,-1.85%,"4,825.59",107.80
1985,8,-1.88%,"4,734.63",108.00
1985,9,1.50%,"4,805.44",108.30
1985,10,6.42%,"5,113.97",108.70
1985,11,5.29%,"5,384.73",109.00
1985,12,0.75%,"5,425.21",109.30
1986,1,5.70%,"5,734.30",109.60
1986,2,6.18%,"6,088.84",109.30
1986,3,2.74%,"6,255.76",108.80
1986,4,0.49%,"6,286.53",108.60
1986,5,3.13%,"6,483.50",108.90
1986,6,-1.80%,"6,366.54",109.50
1986,7,2.28%,"6,511.76",109.50
1986,8,-2.46%,"6,351.81",109.70
1986,9,-0.09%,"6,346.10",110.20
1986,10,3.53%,"6,570.31",110.30
1986,11,1.71%,"6,682.59",110.40
1986,12,6.67%,"7,128.54",110.50
1987,1,6.46%,"7,589.18",111.20
1987,2,4.38%,"7,921.32",111.60
1987,3,-0.86%,"7,853.48",112.10
1987,4,0.17%,"7,867.05",112.70
1987,5,4.50%,"8,220.94",113.10
1987,6,3.12%,"8,477.61",113.50
1987,7,6.45%,"9,024.76",113.80
1987,8,-3.03%,"8,751.27",114.40
1987,9,-11.85%,"7,713.90",115.00
1987,10,-12.30%,"6,764.83",115.30
1987,11,-1.33%,"6,674.54",115.40
1987,12,4.25%,"6,957.98",115.40
1988,1,3.33%,"7,189.58",115.70
1988,2,3.23%,"7,421.95",116.00
1988,3,-0.89%,"7,356.19",116.50
1988,4,-2.19%,"7,195.22",117.10
1988,5,6.00%,"7,626.80",117.50
1988,6,-0.31%,"7,603.39",118.00
1988,7,-1.72%,"7,472.73",118.50
1988,8,1.93%,"7,616.74",119.00
1988,9,3.80%,"7,906.30",119.80
1988,10,-2.02%,"7,746.57",120.20
1988,11,2.33%,"7,926.75",120.30
1988,12,3.51%,"8,205.19",120.50
1989,1,3.30%,"8,475.95",121.10
1989,2,-0.16%,"8,462.25",121.60
1989,3,3.56%,"8,763.91",122.30
1989,4,4.12%,"9,124.57",123.10
1989,5,3.39%,"9,434.14",123.80
1989,6,2.80%,"9,698.31",124.10
1989,7,4.69%,"10,153.23",124.40
1989,8,0.46%,"10,199.48",124.60
1989,9,0.29%,"10,228.68",125.00
1989,10,-1.81%,"10,043.18",125.60
1989,11,2.74%,"10,318.03",125.90
1989,12,-2.21%,"10,089.88",126.10
1990,1,-2.53%,"9,834.89",127.40
1990,2,2.71%,"10,101.13",128.00
1990,3,0.20%,"10,120.93",128.70
1990,4,3.85%,"10,510.68",128.90
1990,5,3.17%,"10,843.86",129.20
1990,6,0.17%,"10,862.27",129.90
1990,7,-7.86%,"10,008.36",130.40
1990,8,-4.34%,"9,573.89",131.60
1990,9,-2.32%,"9,352.18",132.70
1990,10,2.98%,"9,631.23",133.50
1990,11,4.59%,"10,072.98",133.80
1990,12,-0.69%,"10,003.96",133.80
1991,1,11.61%,"11,165.10",134.60
1991,2,3.04%,"11,505.04",134.80
1991,3,2.26%,"11,764.92",135.00
1991,4,-0.18%,"11,743.87",135.20
1991,5,0.35%,"11,784.62",135.60
1991,6,0.78%,"11,876.60",136.00
1991,7,2.68%,"12,194.77",136.20
1991,8,-0.30%,"12,157.80",136.60
1991,9,0.18%,"12,179.89",137.20
1991,10,0.02%,"12,181.81",137.40
1991,11,0.94%,"12,295.73",137.80
1991,12,7.36%,"13,200.45",137.90
1992,1,-0.60%,"13,121.14",138.10
1992,2,-1.01%,"12,988.30",138.60
1992,3,0.26%,"13,022.63",139.30
1992,4,2.07%,"13,291.98",139.50
1992,5,-1.33%,"13,115.32",139.70
1992,6,1.91%,"13,366.10",140.20
1992,7,0.94%,"13,491.97",140.50
1992,8,0.38%,"13,543.00",140.90
1992,9,-1.18%,"13,382.91",141.30
1992,10,2.76%,"13,751.86",141.80
1992,11,3.27%,"14,201.71",142.00
1992,12,0.14%,"14,222.01",141.90
1993,1,1.72%,"14,467.23",142.60
1993,2,2.15%,"14,778.30",143.10
1993,3,-1.34%,"14,580.01",143.60
1993,4,0.72%,"14,685.68",144.00
1993,5,0.87%,"14,812.73",144.20
1993,6,0.06%,"14,821.77",144.40
1993,7,1.76%,"15,083.00",144.40
1993,8,1.35%,"15,287.37",144.80
1993,9,1.24%,"15,477.22",145.10
1993,10,0.01%,"15,478.39",145.70
1993,11,0.89%,"15,615.71",145.80
1993,12,1.74%,"15,886.78",145.80
1994,1,-0.08%,"15,874.76",146.20
1994,2,-1.42%,"15,648.73",146.70
1994,3,-3.35%,"15,125.06",147.20
1994,4,1.06%,"15,285.12",147.40
1994,5,1.11%,"15,454.50",147.50
1994,6,-0.52%,"15,374.31",148.00
1994,7,3.08%,"15,848.16",148.40
1994,8,0.82%,"15,977.71",149.00
1994,9,-0.44%,"15,906.77",149.40
1994,10,-0.37%,"15,847.93",149.50
1994,11,-1.03%,"15,685.38",149.70
1994,12,2.45%,"16,069.85",149.70
1995,1,3.82%,"16,683.57",150.30
1995,2,2.56%,"17,110.37",150.90
1995,3,3.22%,"17,660.56",151.40
1995,4,3.35%,"18,251.80",151.90
1995,5,3.18%,"18,831.91",152.20
1995,6,3.55%,"19,499.97",152.50
1995,7,0.51%,"19,600.03",152.50
1995,8,3.72%,"20,328.70",152.90
1995,9,0.91%,"20,514.21",153.20
1995,10,2.36%,"20,998.01",153.70
1995,11,3.39%,"21,709.66",153.60
1995,12,0.16%,"21,744.96",153.50
1996,1,5.90%,"23,028.87",154.40
1996,2,-0.20%,"22,982.65",154.90
1996,3,0.20%,"23,027.93",155.70
1996,4,2.35%,"23,570.20",156.30
1996,5,1.28%,"23,871.57",156.60
1996,6,-3.48%,"23,041.66",156.70
1996,7,3.08%,"23,750.36",157.00
1996,8,2.02%,"24,231.01",157.30
1996,9,4.12%,"25,229.20",157.80
1996,10,5.05%,"26,503.80",158.30
1996,11,1.20%,"26,821.38",158.60
1996,12,3.26%,"27,695.09",158.60
1997,1,4.36%,"28,902.92",159.10
1997,2,-0.62%,"28,722.66",159.60
1997,3,-3.41%,"27,744.58",160.00
1997,4,9.22%,"30,302.03",160.20
1997,5,5.34%,"31,919.20",160.10
1997,6,5.74%,"33,750.06",160.30
1997,7,0.35%,"33,867.44",160.50
1997,8,1.19%,"34,271.14",160.80
1997,9,1.65%,"34,835.03",161.20
1997,10,-1.15%,"34,433.71",161.60
1997,11,2.63%,"35,340.91",161.50
1997,12,0.24%,"35,424.70",161.30
1998,1,6.40%,"37,692.65",161.60
1998,2,5.31%,"39,695.21",161.90
1998,3,3.41%,"41,047.10",162.20
1998,4,-0.22%,"40,956.03",162.50
1998,5,0.12%,"41,003.73",162.80
1998,6,4.47%,"42,835.64",163.00
1998,7,-6.97%,"39,849.56",163.20
1998,8,-4.90%,"37,897.55",163.40
1998,9,1.29%,"38,386.75",163.60
1998,10,10.97%,"42,599.46",164.00
1998,11,4.10%,"44,347.79",164.00
1998,12,5.05%,"46,586.33",163.90
1999,1,-0.07%,"46,555.25",164.30
1999,2,2.92%,"47,916.30",164.50
1999,3,4.25%,"49,952.75",165.00
1999,4,-0.10%,"49,903.38",166.20
1999,5,-0.61%,"49,598.09",166.20
1999,6,4.52%,"51,841.11",166.20
1999,7,-3.77%,"49,884.42",166.70
1999,8,-0.60%,"49,586.11",167.10
1999,9,-1.27%,"48,955.14",167.90
1999,10,7.11%,"52,433.87",168.20
1999,11,2.81%,"53,906.59",168.30
1999,12,-0.12%,"53,842.48",168.30
2000,1,-2.48%,"52,508.22",168.80
2000,2,3.94%,"54,577.55",169.80
2000,3,1.42%,"55,355.09",171.20
2000,4,-2.84%,"53,783.68",171.30
2000,5,3.16%,"55,485.11",171.50
2000,6,0.85%,"55,956.93",172.40
2000,7,0.94%,"56,482.76",172.80
2000,8,-1.08%,"55,872.94",172.80
2000,9,-5.21%,"52,959.60",173.70
2000,10,-0.77%,"52,550.45",174.00
2000,11,-3.32%,"50,805.74",174.10
2000,12,0.46%,"51,036.91",174.00
2001,1,-2.14%,"49,946.63",175.10
2001,2,-9.08%,"45,411.52",175.80
2001,3,0.45%,"45,615.28",176.20
2001,4,6.88%,"48,753.31",176.90
2001,5,-2.39%,"47,588.76",177.70
2001,6,-2.66%,"46,322.79",178.00
2001,7,-2.05%,"45,375.10",177.50
2001,8,-11.25%,"40,271.62",177.50
2001,9,3.18%,"41,553.88",178.30
2001,10,5.05%,"43,653.66",177.70
2001,11,1.47%,"44,293.64",177.40
2001,12,-0.30%,"44,161.78",176.70
2002,1,-3.35%,"42,681.14",177.10
2002,2,4.95%,"44,791.84",177.80
2002,3,-3.51%,"43,217.66",178.80
2002,4,-2.82%,"41,998.76",179.80
2002,5,-5.92%,"39,512.03",179.80
2002,6,-10.76%,"35,261.13",179.90
2002,7,1.14%,"35,662.68",180.10
2002,8,-4.76%,"33,965.95",180.70
2002,9,-1.37%,"33,501.62",181.00
2002,10,6.63%,"35,721.29",181.30
2002,11,-1.04%,"35,351.56",181.30
2002,12,-0.22%,"35,272.89",180.90
2003,1,-6.41%,"33,010.19",181.70
2003,2,1.31%,"33,441.93",183.10
2003,3,5.29%,"35,209.63",184.20
2003,4,5.31%,"37,080.04",183.80
2003,5,5.70%,"39,195.15",183.50
2003,6,0.60%,"39,428.72",183.70
2003,7,-0.17%,"39,363.14",183.90
2003,8,3.16%,"40,607.48",184.60
2003,9,2.03%,"41,430.93",185.20
2003,10,1.21%,"41,932.48",185.00
2003,11,3.06%,"43,217.21",184.50
2003,12,4.93%,"45,349.97",184.30
2004,1,1.09%,"45,842.77",185.20
2004,2,-1.57%,"45,125.24",186.20
2004,3,0.97%,"45,562.11",187.40
2004,4,-2.56%,"44,393.79",188.00
2004,5,2.86%,"45,662.42",189.10
2004,6,-2.24%,"44,640.14",189.70
2004,7,-1.39%,"44,020.72",189.40
2004,8,2.78%,"45,245.65",189.50
2004,9,0.10%,"45,292.07",189.90
2004,10,4.77%,"47,454.27",190.90
2004,11,2.73%,"48,748.56",191.00
2004,12,-1.35%,"48,090.83",190.30
2005,1,1.68%,"48,899.34",190.70
2005,2,-0.26%,"48,774.36",191.80
2005,3,-2.41%,"47,599.42",193.30
2005,4,1.34%,"48,235.29",194.60
2005,5,2.18%,"49,287.16",194.40
2005,6,1.81%,"50,178.17",194.50
2005,7,0.31%,"50,333.73",195.40
2005,8,0.28%,"50,474.51",196.40
2005,9,-2.62%,"49,149.94",198.80
2005,10,3.96%,"51,097.04",199.20
2005,11,2.14%,"52,192.63",197.60
2005,12,1.47%,"52,958.17",196.80
2006,1,-0.02%,"52,949.36",198.30
2006,2,1.49%,"53,736.26",198.70
2006,3,0.80%,"54,165.26",199.80
2006,4,-0.79%,"53,739.17",201.50
2006,5,-2.71%,"52,285.10",202.50
2006,6,0.72%,"52,661.58",202.90
2006,7,2.29%,"53,868.45",203.50
2006,8,2.53%,"55,231.96",203.90
