observation_date,CUUR0000SETB01_CCH
1977-04-01,3.05212
1977-07-01,0.93086
1977-10-01,-0.39788
1978-01-01,-0.13298
1978-04-01,1.25621
1978-07-01,3.80323
1978-10-01,2.18964
1979-01-01,4.94971
1979-04-01,15.06109
1979-07-01,15.54525
1979-10-01,5.73030
1980-01-01,14.00112
1980-04-01,5.77516
1980-07-01,-0.10086
1980-10-01,-0.98023
1981-01-01,8.74359
1981-04-01,2.76261
1981-07-01,-1.18777
1981-10-01,-0.61463
1982-01-01,-3.25843
1982-04-01,-5.12933
1982-07-01,5.44729
1982-10-01,-2.76812
1983-01-01,-7.17007
1983-04-01,4.95913
1983-07-01,2.69931
1983-10-01,-2.59926
1984-01-01,-2.49760
1984-04-01,1.59352
1984-07-01,-2.00448
1984-10-01,0.17144
1985-01-01,-3.37952
1985-04-01,6.44942
1985-07-01,0.43096
1985-10-01,-1.56696
1986-01-01,-8.84787
1986-04-01,-17.39863
1986-07-01,-6.03243
1986-10-01,-3.97591
1987-01-01,8.28986
1987-04-01,5.65904
1987-07-01,5.03689
1987-10-01,-0.96309
1988-01-01,-5.42689
1988-04-01,2.89510
1988-07-01,3.17487
1988-10-01,-2.55644
1989-01-01,-1.03285
1989-04-01,16.85225
1989-07-01,-3.75379
1989-10-01,-4.92821
1990-01-01,3.23823
1990-04-01,2.95696
1990-07-01,10.66906
1990-10-01,13.63967
1991-01-01,-16.19383
1991-04-01,-1.60485
1991-07-01,0.20202
1991-10-01,-0.64114
1992-01-01,-5.28267
1992-04-01,5.89017
1992-07-01,3.08124
1992-10-01,-0.88482
1993-01-01,-3.48327
1993-04-01,1.35412
1993-07-01,-2.24423
1993-10-01,0.13746
1994-01-01,-4.71089
1994-04-01,3.53644
1994-07-01,6.81586
1994-10-01,-1.17533
1995-01-01,-3.74751
1995-04-01,5.47310
1995-07-01,-1.75843
1995-10-01,-4.84617
1996-01-01,2.41879
1996-04-01,11.25711
1996-07-01,-3.64456
1996-10-01,-0.12484
1997-01-01,0.28068
1997-04-01,-1.60104
1997-07-01,1.28912
1997-10-01,-2.59508
1998-01-01,-10.43280
1998-04-01,-0.49947
1998-07-01,-2.09621
1998-10-01,-3.19137
1999-01-01,-4.55150
1999-04-01,16.81463
1999-07-01,6.14484
1999-10-01,3.33159
2000-01-01,8.85020
2000-04-01,8.94614
2000-07-01,0.91002
2000-10-01,-1.49578
2001-01-01,-4.06624
2001-04-01,11.11696
2001-07-01,-10.87782
2001-10-01,-17.97770
2002-01-01,-4.18417
2002-04-01,17.90591
2002-07-01,0.33177
2002-10-01,1.23441
2003-01-01,11.81465
2003-04-01,-3.14987
2003-07-01,3.65730
2003-10-01,-5.21944
2004-01-01,8.42142
2004-04-01,15.01411
2004-07-01,-2.35783
2004-10-01,3.51622
2005-01-01,-1.92468
2005-04-01,13.39362
2005-07-01,15.07556
2005-10-01,-5.63794
2006-01-01,-3.40849
2006-04-01,19.83342
2006-07-01,-0.64459
2006-10-01,-22.37285
2007-01-01,4.28824
2007-04-01,23.39159
2007-07-01,-5.28167
2007-10-01,3.85441
2008-01-01,4.92317
2008-04-01,18.67865
2008-07-01,2.65347
2008-10-01,-49.85553
2009-01-01,-20.02461
2009-04-01,19.89683
2009-07-01,10.76105
2009-10-01,1.04058
2010-01-01,4.04368
2010-04-01,3.70548
2010-07-01,-3.31399
2010-10-01,5.30199
2011-01-01,12.59091
2011-04-01,15.59075
2011-07-01,-4.89174
2011-10-01,-7.10250
2012-01-01,6.30310
2012-04-01,3.96884
2012-07-01,-2.18740
2012-10-01,-3.84963
2013-01-01,1.58791
2013-04-01,0.99322
2013-07-01,-0.52136
2013-10-01,-8.06558
2014-01-01,3.12055
2014-04-01,7.66953
2014-07-01,-4.59640
2014-10-01,-19.11786
2015-01-01,-23.11338
2015-04-01,15.86682
2015-07-01,-2.37356
2015-10-01,-17.99168
2016-01-01,-13.67905
2016-04-01,17.33982
2016-07-01,-2.06435
2016-10-01,1.26420
2017-01-01,4.46363
2017-04-01,2.45312
2017-07-01,2.14475
2017-10-01,2.80489
2018-01-01,2.76597
2018-04-01,10.33687
2018-07-01,0.51361
2018-10-01,-7.48238
2019-01-01,-10.21470
2019-04-01,16.26832
2019-07-01,-4.94829
2019-10-01,-1.78148
2020-01-01,-7.29567
2020-04-01,-21.39773
2020-07-01,11.18796
2020-10-01,-1.78467
2021-01-01,16.39871
2021-04-01,14.80702
2021-07-01,5.77938
2021-10-01,5.13560
2022-01-01,9.54050
2022-04-01,20.69052
2022-07-01,-9.72515
2022-10-01,-12.16175
2023-01-01,-5.86733
2023-04-01,5.59716
2023-07-01,4.64228
2023-10-01,-10.05236
2024-01-01,-3.21356
2024-04-01,8.94288
2024-07-01,-5.55704
2024-10-01,-8.63110
