observation_date,GDPC1_CCH
1987-01-01,0.73911
1987-04-01,1.07241
1987-07-01,0.86344
1987-10-01,1.70238
1988-01-01,0.51555
1988-04-01,1.30547
1988-07-01,0.58426
1988-10-01,1.32366
1989-01-01,1.01126
1989-04-01,0.76020
1989-07-01,0.73801
1989-10-01,0.19679
1990-01-01,1.08695
1990-04-01,0.36231
1990-07-01,0.06656
1990-10-01,-0.91457
1991-01-01,-0.46904
1991-04-01,0.77667
1991-07-01,0.50409
1991-10-01,0.34794
1992-01-01,1.19014
1992-04-01,1.07847
1992-07-01,0.98326
1992-10-01,1.03746
1993-01-01,0.16680
1993-04-01,0.58048
1993-07-01,0.47602
1993-10-01,1.35098
1994-01-01,0.96569
1994-04-01,1.34608
1994-07-01,0.58288
1994-10-01,1.13906
1995-01-01,0.35415
1995-04-01,0.29788
1995-07-01,0.84713
1995-10-01,0.67679
1996-01-01,0.74626
1996-04-01,1.65419
1996-07-01,0.89303
1996-10-01,1.03302
1997-01-01,0.64337
1997-04-01,1.65151
1997-07-01,1.24084
1997-10-01,0.85024
1998-01-01,0.99875
1998-04-01,0.92143
1998-07-01,1.25108
1998-10-01,1.59639
1999-01-01,0.93505
1999-04-01,0.83128
1999-07-01,1.31717
1999-10-01,1.62735
2000-01-01,0.36214
2000-04-01,1.80490
2000-07-01,0.10188
2000-10-01,0.59526
2001-01-01,-0.32834
2001-04-01,0.62256
2001-07-01,-0.40144
2001-10-01,0.27440
2002-01-01,0.83288
2002-04-01,0.61084
2002-07-01,0.40569
2002-10-01,0.12353
2003-01-01,0.52526
2003-04-01,0.88172
2003-07-01,1.64952
2003-10-01,1.15404
2004-01-01,0.56505
2004-04-01,0.77196
2004-07-01,0.94412
2004-10-01,1.01504
2005-01-01,1.10326
2005-04-01,0.49142
2005-07-01,0.78076
2005-10-01,0.55398
2006-01-01,1.33641
2006-04-01,0.25842
2006-07-01,0.14984
2006-10-01,0.85578
2007-01-01,0.30038
2007-04-01,0.60990
2007-07-01,0.57437
2007-10-01,0.62627
2008-01-01,-0.42768
2008-04-01,0.59366
2008-07-01,-0.52664
2008-10-01,-2.21334
2009-01-01,-1.14136
2009-04-01,-0.17881
2009-07-01,0.35058
2009-10-01,1.07511
2010-01-01,0.48333
2010-04-01,0.96293
2010-07-01,0.76813
2010-10-01,0.52374
2011-01-01,-0.23749
2011-04-01,0.67430
2011-07-01,-0.02232
2011-10-01,1.11679
2012-01-01,0.83509
2012-04-01,0.44534
2012-07-01,0.14392
2012-10-01,0.11557
2013-01-01,0.98173
2013-04-01,0.26728
2013-07-01,0.84779
2013-10-01,0.86796
2014-01-01,-0.34569
2014-04-01,1.28357
2014-07-01,1.20806
2014-10-01,0.50446
2015-01-01,0.89645
2015-04-01,0.61749
2015-07-01,0.39945
2015-10-01,0.18431
2016-01-01,0.57785
2016-04-01,0.32061
2016-07-01,0.70689
2016-10-01,0.55277
2017-01-01,0.48571
2017-04-01,0.55831
2017-07-01,0.78543
2017-10-01,1.12074
2018-01-01,0.81012
2018-04-01,0.52942
2018-07-01,0.62176
2018-10-01,0.14154
2019-01-01,0.62238
2019-04-01,0.83168
2019-07-01,1.16321
2019-10-01,0.67956
2020-01-01,-1.40223
2020-04-01,-8.23926
2020-07-01,7.53878
2020-10-01,1.07888
2021-01-01,1.37075
2021-04-01,1.55785
2021-07-01,0.84923
2021-10-01,1.78709
2022-01-01,-0.25779
2022-04-01,0.07015
2022-07-01,0.67095
2022-10-01,0.82442
2023-01-01,0.68966
2023-04-01,0.60514
2023-07-01,1.06582
2023-10-01,0.78558
2024-01-01,0.40399
2024-04-01,0.73626
2024-07-01,0.75664
2024-10-01,0.55662
