observation_date,GDPC1_PC1
1981-07-01,4.32572
1981-10-01,1.29983
1982-01-01,-2.19052
1982-04-01,-1.01075
1982-07-01,-2.55604
1982-10-01,-1.44318
1983-01-01,1.43147
1983-04-01,3.26848
1983-07-01,5.73697
1983-10-01,7.89966
1984-01-01,8.57805
1984-04-01,7.99653
1984-07-01,6.90073
1984-10-01,5.57564
1985-01-01,4.55482
1985-04-01,3.68399
1985-07-01,4.26242
1985-10-01,4.18246
1986-01-01,4.14611
1986-04-01,3.70200
1986-07-01,3.11918
1986-10-01,2.90724
1987-01-01,2.71158
1987-04-01,3.35360
1987-07-01,3.26199
1987-10-01,4.47456
1988-01-01,4.24126
1988-04-01,4.48449
1988-07-01,4.19320
1988-10-01,3.79934
1989-01-01,4.31516
1989-04-01,3.74791
1989-07-01,3.90754
1989-10-01,2.74321
1990-01-01,2.82101
1990-04-01,2.41270
1990-07-01,1.72736
1990-10-01,0.60306
1991-01-01,-0.95020
1991-04-01,-0.53893
1991-07-01,-0.10281
1991-10-01,1.16640
1992-01-01,2.85894
1992-04-01,3.16984
1992-07-01,3.66539
1992-10-01,4.38265
1993-01-01,3.31991
1993-04-01,2.80667
1993-07-01,2.28651
1993-10-01,2.60771
1994-01-01,3.43071
1994-04-01,4.22561
1994-07-01,4.33705
1994-10-01,4.11617
1995-01-01,3.48141
1995-04-01,2.40238
1995-07-01,2.67333
1995-10-01,2.19979
1996-01-01,2.60131
1996-04-01,4.00238
1996-07-01,4.05013
1996-10-01,4.42145
1997-01-01,4.31407
1997-04-01,4.31127
1997-07-01,4.67470
1997-10-01,4.48355
1998-01-01,4.85553
1998-04-01,4.09279
1998-07-01,4.10345
1998-10-01,4.88313
1999-01-01,4.81634
1999-04-01,4.72189
1999-07-01,4.79112
1999-10-01,4.82357
2000-01-01,4.22474
2000-04-01,5.24446
2000-07-01,3.97317
2000-10-01,2.90559
2001-01-01,2.19751
2001-04-01,0.99630
2001-07-01,0.48924
2001-10-01,0.16732
2002-01-01,1.33726
2002-04-01,1.32538
2002-07-01,2.14652
2002-10-01,1.99252
2003-01-01,1.67926
2003-04-01,1.95507
2003-07-01,3.23114
2003-10-01,4.30044
2004-01-01,4.34195
2004-04-01,4.22749
2004-07-01,3.49486
2004-10-01,3.35110
2005-01-01,3.90884
2005-04-01,3.61774
2005-07-01,3.44860
2005-10-01,2.97274
2006-01-01,3.21311
2006-04-01,2.97290
2006-07-01,2.32528
2006-10-01,2.63456
2007-01-01,1.57672
2007-04-01,1.93437
2007-07-01,2.36804
2007-10-01,2.13336
2008-01-01,1.39247
2008-04-01,1.37601
2008-07-01,0.26597
2008-10-01,-2.54115
2009-01-01,-3.23423
2009-04-01,-3.97884
2009-07-01,-3.13282
2009-10-01,0.10557
2010-01-01,1.74527
2010-04-01,2.91360
2010-07-01,3.34421
2010-10-01,2.77596
2011-01-01,2.03780
2011-04-01,1.74371
2011-07-01,0.94265
2011-10-01,1.54308
2012-01-01,2.63807
2012-04-01,2.40334
2012-07-01,2.57371
2012-10-01,1.55185
2013-01-01,1.70087
2013-04-01,1.51994
2013-07-01,2.23702
2013-10-01,3.00914
2014-01-01,1.65082
2014-04-01,2.68915
2014-07-01,3.05978
2014-10-01,2.68584
2015-01-01,3.96930
2015-04-01,3.27909
2015-07-01,2.44732
2015-10-01,2.11986
2016-01-01,1.79502
2016-04-01,1.49325
2016-07-01,1.80576
2016-10-01,2.18157
2017-01-01,2.08746
2017-04-01,2.33041
2017-07-01,2.41082
2017-10-01,2.99414
2018-01-01,3.32881
2018-04-01,3.29896
2018-07-01,3.13003
2018-10-01,2.12511
2019-01-01,1.93356
2019-04-01,2.24213
2019-07-01,2.79722
2019-10-01,3.35178
2020-01-01,1.28035
2020-04-01,-7.50237
2020-07-01,-1.41306
2020-10-01,-1.01860
2021-01-01,1.76454
2021-04-01,12.23926
2021-07-01,4.97658
2021-10-01,5.72268
2022-01-01,4.01489
2022-04-01,2.47892
2022-07-01,2.29639
2022-10-01,1.31633
2023-01-01,2.28081
2023-04-01,2.82946
2023-07-01,3.23631
2023-10-01,3.19622
2024-01-01,2.90183
2024-04-01,3.03685
2024-07-01,2.71877
2024-10-01,2.48386
